Zip_Code,County
46107,Marion County
46183,Marion County
46201,Marion County
46202,Marion County
46203,Marion County
46204,Marion County
46205,Marion County
46206,Marion County
46207,Marion County
46208,Marion County
46214,Marion County
46216,Marion County
46217,Marion County
46218,Marion County
46219,Marion County
46220,Marion County
46221,Marion County
46222,Marion County
46224,Marion County
46225,Marion County
46226,Marion County
46227,Marion County
46228,Marion County
46229,Marion County
46230,Marion County
46231,Marion County
46234,Marion County
46235,Marion County
46236,Marion County
46237,Marion County
46239,Marion County
46240,Marion County
46241,Marion County
46242,Marion County
46244,Marion County
46247,Marion County
46250,Marion County
46251,Marion County
46253,Marion County
46254,Marion County
46256,Marion County
46259,Marion County
46260,Marion County
46268,Marion County
46278,Marion County
46282,Marion County
46786,Marion County
